Sample Group 1,Sample Group 2,,Sample Group 1 name,Normal
Control_1,SARS-CoV-2_1,,Sample Group 2 name,SARS-CoV-2
Control_2,SARS-CoV-2_2,,Paired Comparison,0
Control_3,SARS-CoV-2_3,,,
Control_4,SARS-CoV-2_4,,,
Control_5,SARS-CoV-2_5,,,
Control_6,SARS-CoV-2_6,,,
Control_7,SARS-CoV-2_7,,,
Control_8,SARS-CoV-2_8,,,
Control_9,SARS-CoV-2_9,,,
Control_10,SARS-CoV-2_10,,,
Control_11,SARS-CoV-2_11,,,
Control_12,SARS-CoV-2_12,,,
Control_13,SARS-CoV-2_13,,,
Control_14,SARS-CoV-2_14,,,
Control_15,SARS-CoV-2_15,,,
Control_16,SARS-CoV-2_16,,,
Control_17,SARS-CoV-2_17,,,
,SARS-CoV-2_18,,,
